EMAILADRES,MERK_EIGEN_CONSOLE,TYPE_EIGEN_CONSOLE,VOORNAMEN,ACHTERNAAM,ADRES,HUISNUMMER,POSTCODE,WOONPLAATS,GEBOORTEDATUM,GESLACHT,WACHTWOORD,LEEFTIJD
a.neque@nonummyacfeugiat.net,"Sony                          ","PS3                           ",Pascale,Hanson,Sint Geertruide-steeg,"462       ",4551 BQ,Lent,1981-03-28 19:52:21.000,V,"DSW90RAM2TU              ",41
ac.mattis.velit@vitae.net,"Sony                          ","PS4 Pro                       ",Yuri,Irwin,Raadhuisstraat,"964       ",4646 QN,Elst,1985-10-09 17:09:49.000,M,"YPZ00LNE8UK              ",37
ac@sagittis.net,"Microsoft                     ","XBox 360                      ",Simon,Nunez,Rozenboom-straat,"286       ",4889 AC,Nijmegen,1977-06-02 16:42:23.000,M,"CSK34BJO8NS              ",45
aliquam@magnaUt.com,"Sony                          ","PS4 Pro                       ",Sean,Nichols,Beursplein,"163       ",8236 MY,Lent,1995-08-04 18:47:29.000,M,"NNA72AZF1QW              ",27
aliquam@molestiein.co.uk,"Sony                          ","PS3                           ",Shana,Wagner,Oosterdoks-kade,"115       ",9095 WQ,Druten,1996-05-27 21:30:11.000,V,"PUR80PIX9PM              ",26
amet.lorem@Nullam.edu,"Nintendo                      ","WII                           ",Chantale,Doyle,Engelse steeg,"656       ",6404 LK,Lent,1965-09-28 06:18:29.000,V,"QVD98EUN4US              ",57
amet.orci.Ut@tellusPhaselluselit.ca,"Microsoft                     ","XBox 360                      ",Chase,Mendez,Martelaars-gracht,"936       ",9602 DC,Lent,1963-11-01 22:48:14.000,M,"JVI06DCU1AS              ",59
amet@quismassaMauris.net,"Microsoft                     ","XBox 360                      ",Tashya,Page,Korte Kolk-steeg,"503       ",2169 KE,Beuningen,1974-05-09 17:56:16.000,V,"LIT74OHL0XH              ",48
ante.Maecenas@luctus.com,"Nintendo                      ","WII U                         ",Amena,Jefferson,Muntplein,"463       ",3174 RZ,Druten,1987-08-21 09:32:10.000,V,"PMM93KRK1SM              ",35
arcu.vel.quam@sed.org,"Nintendo                      ","WII Mini                      ",Karyn,Buck,Hekelveld,"866       ",8688 ZF,Lent,1968-03-30 15:04:53.000,V,"CKR88GHK4NJ              ",54
auctor@Pellentesque.org,"Microsoft                     ","XBox One                      ",Alec,Wise,Molsteeg,"510       ",0617 NH,Elst,1984-11-22 02:20:15.000,M,"VCT21MMX3XQ              ",38
blandit.viverra.Donec@auguemalesuada.com,"Sony                          ","PS4 Pro                       ",Brielle,Duffy,Nadorst-steeg,"657       ",1090 VO,Arnhem,1961-09-06 07:02:49.000,M,"KRL64IVM2UQ              ",61
Class.aptent@estcongue.edu,"Sony                          ","PS4                           ",Hunter,Russo,Rokin,"857       ",4140 QE,Druten,1970-11-25 22:52:49.000,M,"ZSX21SHD0KA              ",52
congue.turpis@consectetueradipiscing.com,"Sony                          ","PS4                           ",Daniel,Glover,Taksteeg,"176       ",8364 MT,Lent,1973-08-14 15:18:45.000,M,"HSV93UPV3CV              ",49
congue@intempuseu.org,"Microsoft                     ","Xbox                          ",Nita,Maddox,Water-steeg,"134       ",9716 OP,Arnhem,1961-10-04 16:02:33.000,V,"IJQ09EQL2DH              ",61
convallis.est@dolornonummyac.net,"Sony                          ","PS4 Slim                      ",Bianca,Bryant,Dam,"243       ",1151 NW,Wijchen,1976-05-19 00:22:21.000,V,"SOD55ZHM5WU              ",46
Cum.sociis@Donecest.com,"Nintendo                      ","WII Mini                      ",Micah,Miller,Haringpakkers-steeg,"89        ",8585 GT,Overbetuwe,1991-06-06 18:07:01.000,M,"FZI45NAE4TL              ",31
Curabitur.ut@pedeSuspendisse.edu,"Nintendo                      ","WII U                         ",Christine,Snyder,Roskam-steeg,"912       ",9269 UY,Arnhem,1977-05-08 00:27:40.000,V,"QAL79HLF3OS              ",45
Donec@egetipsum.edu,"Microsoft                     ","XBox One                      ",MacKenzie,Woodard,Gouwenaars-steeg,"425       ",8179 MS,Beuningen,1961-05-04 19:26:14.000,M,"EYC18XML4WD              ",61
dui.augue@loremvehiculaet.org,"Sony                          ","PS4                           ",Solomon,Spears,Oude Brug-steeg,"722       ",9748 IZ,Nijmegen,1985-04-29 11:55:24.000,M,"UXE16QMR1LO              ",37
